Gender,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
Male,33,No,Entertainment,0.0,Low,2.0,A
Male,69,No,Entertainment,0.0,Low,5.0,A
Female,31,No,Doctor,6.0,Low,4.0,D
Female,39,No,Engineer,4.0,Low,3.0,D
Female,21,No,Healthcare,1.0,Low,5.0,D
Female,41,Yes,Artist,9.0,Low,1.0,C
Male,49,Yes,Artist,1.0,Average,4.0,C
Female,38,Yes,Executive,0.0,Average,2.0,A
Female,52,Yes,Artist,9.0,Low,4.0,C
Female,46,Yes,Artist,6.0,Low,2.0,C
Male,28,No,Doctor,4.0,Low,3.0,C
Female,55,Yes,Artist,0.0,High,5.0,B
Female,41,Yes,Healthcare,1.0,Low,1.0,D
Male,47,No,Executive,0.0,High,2.0,B
Male,52,Yes,Artist,0.0,Low,3.0,A
Female,45,Yes,Artist,4.0,High,4.0,C
Male,78,Yes,Lawyer,1.0,Low,1.0,B
Male,38,No,Doctor,0.0,High,4.0,D
Female,50,Yes,Artist,1.0,Average,4.0,C
Female,53,Yes,Engineer,8.0,High,4.0,A
Male,43,Yes,Artist,1.0,Low,1.0,A
Male,59,Yes,Artist,1.0,Average,3.0,C
Female,38,No,Entertainment,8.0,Low,2.0,B
Male,42,Yes,Artist,2.0,Average,2.0,C
Male,65,Yes,Artist,0.0,Average,2.0,C
Male,79,Yes,Lawyer,0.0,Low,2.0,A
Female,41,Yes,Artist,1.0,Low,1.0,D
Male,42,Yes,Entertainment,9.0,Low,2.0,A
Male,49,Yes,Doctor,1.0,Average,2.0,C
Male,58,Yes,Artist,1.0,Low,2.0,B
Male,69,Yes,Lawyer,0.0,High,3.0,A
Female,35,Yes,Artist,3.0,Low,1.0,C
Female,47,No,Engineer,0.0,High,2.0,A
Female,25,Yes,Marketing,12.0,Low,1.0,D
Female,38,Yes,Homemaker,0.0,Low,2.0,A
Female,25,No,Engineer,8.0,Low,3.0,D
Male,76,No,Lawyer,0.0,Low,1.0,A
Female,23,No,Healthcare,0.0,Low,5.0,D
Female,49,Yes,Artist,0.0,Average,3.0,C
Female,71,Yes,Artist,1.0,High,2.0,C
Female,39,No,Engineer,0.0,Low,3.0,A
Female,41,Yes,Artist,8.0,Low,3.0,A
Female,27,No,Homemaker,10.0,Low,1.0,D
Female,35,Yes,Artist,2.0,Average,2.0,C
Female,49,No,Engineer,0.0,Low,1.0,A
Male,42,No,Engineer,9.0,Low,3.0,D
Male,39,Yes,Artist,0.0,Low,1.0,A
Male,68,Yes,Lawyer,8.0,Low,1.0,A
Male,57,Yes,Artist,1.0,Low,1.0,A
Male,38,Yes,Artist,0.0,Low,1.0,A
Female,35,No,Engineer,2.0,Average,5.0,D
Female,41,Yes,Marketing,0.0,Low,3.0,D
Male,40,Yes,Artist,0.0,Average,4.0,C
Male,53,Yes,Artist,0.0,Average,4.0,B
Female,38,Yes,Homemaker,8.0,Average,3.0,B
Female,68,No,Marketing,0.0,Low,2.0,D
Male,30,No,Executive,1.0,Low,2.0,D
Male,52,No,Entertainment,4.0,Average,5.0,C
Male,80,Yes,Lawyer,1.0,Low,1.0,A
Female,31,Yes,Healthcare,1.0,Low,7.0,A
Male,87,No,Executive,0.0,High,2.0,C
Male,23,No,Healthcare,1.0,Low,4.0,D
Male,45,Yes,Artist,5.0,Low,1.0,C
Male,36,Yes,Artist,9.0,Average,4.0,A
Male,41,No,Executive,1.0,High,2.0,B
Female,48,Yes,Artist,0.0,Low,4.0,C
Male,70,Yes,Executive,1.0,High,5.0,B
Female,84,Yes,Lawyer,3.0,High,2.0,A
Male,39,Yes,Healthcare,11.0,Average,2.0,D
Female,39,Yes,Artist,0.0,Low,1.0,A
Male,50,Yes,Artist,1.0,Average,4.0,C
Male,40,Yes,Doctor,1.0,Low,5.0,A
Male,38,Yes,Artist,4.0,Average,3.0,C
Male,71,No,Lawyer,1.0,High,2.0,B
Female,35,Yes,Artist,10.0,Low,1.0,A
Male,27,Yes,Healthcare,5.0,Low,5.0,D
Male,33,No,Healthcare,8.0,Average,3.0,C
Male,74,Yes,Lawyer,1.0,High,2.0,B
Male,20,No,Marketing,0.0,Low,2.0,D
Female,30,No,Entertainment,1.0,High,4.0,D
Male,22,No,Doctor,0.0,Low,4.0,B
Female,43,Yes,Homemaker,9.0,Low,1.0,A
Male,36,Yes,Artist,11.0,Low,2.0,C
Male,29,Yes,Healthcare,4.0,Low,2.0,C
Female,43,Yes,Entertainment,0.0,Low,6.0,A
Male,38,Yes,Entertainment,7.0,Low,1.0,D
Female,40,Yes,Artist,5.0,High,5.0,B
Female,68,Yes,Lawyer,9.0,High,4.0,C
Female,35,Yes,Entertainment,9.0,Low,2.0,A
Female,23,No,Doctor,7.0,Low,4.0,C
Male,50,Yes,Artist,1.0,Low,1.0,B
Female,32,Yes,Doctor,0.0,Low,5.0,D
Male,59,Yes,Entertainment,9.0,Low,1.0,A
Female,30,Yes,Healthcare,3.0,Low,5.0,B
Female,35,Yes,Artist,0.0,Low,1.0,A
Male,48,Yes,Healthcare,1.0,Low,2.0,D
Male,29,No,Healthcare,9.0,Low,4.0,D
Female,40,Yes,Artist,1.0,Average,2.0,C
Male,38,Yes,Artist,1.0,Average,3.0,C
Male,36,No,Engineer,0.0,Low,1.0,D
Male,20,No,Healthcare,0.0,Low,4.0,D
Male,29,No,Healthcare,6.0,Low,3.0,C
Male,42,No,Executive,3.0,High,3.0,A
Female,35,Yes,Entertainment,1.0,Low,1.0,D
Female,37,No,Engineer,1.0,Average,6.0,B
Female,52,No,Artist,0.0,Average,4.0,C
Male,53,Yes,Artist,0.0,Low,2.0,C
Male,30,No,Artist,9.0,High,6.0,A
Female,65,Yes,Artist,1.0,Low,2.0,B
Female,23,No,Healthcare,1.0,Low,3.0,D
Female,32,No,Entertainment,0.0,Low,3.0,C
Female,36,Yes,Homemaker,9.0,Low,1.0,A
Male,27,No,Entertainment,1.0,Low,3.0,B
Male,36,Yes,Executive,0.0,Low,2.0,B
Male,37,Yes,Artist,12.0,Low,1.0,B
Male,29,No,Entertainment,0.0,Low,3.0,D
Male,29,Yes,Executive,0.0,Low,5.0,C
Male,27,Yes,Doctor,1.0,Low,6.0,D
Female,35,Yes,Engineer,2.0,Low,1.0,B
Male,40,Yes,Artist,1.0,Low,1.0,A
Male,37,Yes,Entertainment,6.0,Low,4.0,A
Male,19,No,Healthcare,0.0,Low,5.0,D
Male,29,Yes,Healthcare,0.0,Low,4.0,D
Female,53,Yes,Artist,0.0,Average,2.0,C
Female,26,No,Engineer,4.0,Low,1.0,A
Female,30,Yes,Healthcare,0.0,Low,4.0,D
Male,30,No,Entertainment,1.0,Low,2.0,D
Male,69,No,Executive,1.0,High,3.0,B
Male,57,Yes,Artist,0.0,Low,1.0,A
Female,56,Yes,Artist,4.0,Average,2.0,C
Male,27,Yes,Healthcare,8.0,Low,4.0,D
Male,21,No,Healthcare,0.0,Low,6.0,D
Female,71,Yes,Artist,0.0,High,4.0,B
Female,39,Yes,Entertainment,8.0,Low,4.0,D
Female,87,Yes,Lawyer,1.0,High,2.0,A
Male,59,No,Entertainment,6.0,Average,3.0,B
Male,32,Yes,Marketing,8.0,Low,1.0,D
Male,40,No,Executive,7.0,Low,4.0,A
Female,58,Yes,Artist,0.0,High,3.0,B
Female,31,Yes,Marketing,0.0,Low,9.0,D
Male,35,No,Marketing,0.0,Low,4.0,D
Female,46,Yes,Artist,8.0,Average,2.0,C
Male,69,Yes,Artist,1.0,Low,2.0,A
Male,69,Yes,Doctor,0.0,High,3.0,C
Female,45,Yes,Entertainment,3.0,Average,5.0,B
Male,38,Yes,Artist,0.0,Low,4.0,A
Male,39,Yes,Executive,5.0,High,3.0,C
Female,23,No,Healthcare,2.0,Low,5.0,D
Female,58,No,Engineer,0.0,Average,6.0,A
Male,84,Yes,Entertainment,0.0,High,2.0,D
Male,35,Yes,Artist,5.0,Average,2.0,C
Female,22,No,Healthcare,1.0,Low,2.0,D
Male,23,No,Healthcare,0.0,Low,2.0,D
Female,41,Yes,Artist,3.0,Low,3.0,D
Male,50,Yes,Executive,4.0,High,3.0,C
Male,50,Yes,Executive,0.0,High,4.0,A
Female,28,Yes,Homemaker,8.0,Low,1.0,D
Female,37,Yes,Doctor,1.0,Average,2.0,C
Male,73,No,Executive,1.0,High,2.0,D
Male,50,Yes,Executive,1.0,High,3.0,C
Female,32,Yes,Artist,4.0,High,2.0,C
Female,39,Yes,Doctor,2.0,Low,1.0,B
Male,43,Yes,Doctor,1.0,Low,4.0,A
Female,33,Yes,Artist,5.0,Low,2.0,B
Male,61,Yes,Artist,1.0,Average,3.0,C
Female,70,Yes,Doctor,0.0,Average,2.0,C
Male,66,Yes,Artist,1.0,Average,2.0,B
Female,72,Yes,Artist,0.0,Low,1.0,C
Male,71,Yes,Artist,0.0,High,2.0,B
Male,18,No,Healthcare,8.0,Low,9.0,D
Male,33,No,Artist,1.0,Average,2.0,B
Male,28,Yes,Artist,9.0,Low,1.0,A
Female,27,Yes,Marketing,11.0,Average,2.0,A
Female,38,No,Engineer,1.0,Low,5.0,B
Male,63,Yes,Artist,0.0,Average,7.0,C
Male,70,Yes,Lawyer,0.0,High,3.0,A
Female,26,Yes,Healthcare,10.0,Low,1.0,D
Male,36,No,Entertainment,1.0,Low,2.0,A
Female,47,Yes,Artist,0.0,Low,3.0,C
Male,28,No,Entertainment,9.0,Low,2.0,A
Female,26,Yes,Entertainment,1.0,Low,5.0,C
Male,20,No,Marketing,1.0,Low,3.0,D
Male,30,Yes,Artist,0.0,Average,2.0,C
Male,41,Yes,Entertainment,8.0,Low,2.0,A
Female,40,Yes,Doctor,1.0,Low,1.0,A
Female,47,No,Engineer,1.0,Average,4.0,B
Male,40,Yes,Entertainment,2.0,Average,5.0,A
Female,53,No,Engineer,0.0,Average,3.0,A
Male,60,Yes,Artist,1.0,Low,2.0,A
Female,27,Yes,Artist,8.0,Low,1.0,A
Male,43,Yes,Artist,2.0,Low,2.0,B
Female,33,Yes,Homemaker,7.0,Low,3.0,C
Male,56,Yes,Entertainment,0.0,Average,2.0,C
Male,70,Yes,Executive,1.0,High,2.0,C
Male,70,No,Doctor,1.0,High,2.0,D
Female,40,Yes,Engineer,6.0,Low,3.0,D
Female,29,Yes,Healthcare,1.0,Low,4.0,D
Female,40,Yes,Engineer,0.0,Average,2.0,B
Male,82,Yes,Lawyer,1.0,Low,1.0,A
Female,38,Yes,Artist,7.0,Low,1.0,B
Male,39,Yes,Doctor,0.0,Average,3.0,B
Male,39,Yes,Artist,0.0,Average,2.0,C
Male,47,Yes,Artist,0.0,Low,1.0,A
Male,75,Yes,Lawyer,0.0,High,2.0,A
Female,37,No,Marketing,0.0,Low,4.0,D
Male,84,No,Lawyer,1.0,High,2.0,A
Female,42,Yes,Entertainment,6.0,Low,2.0,A
Male,39,Yes,Doctor,0.0,Average,2.0,D
Male,42,Yes,Artist,0.0,Average,2.0,B
Female,40,Yes,Artist,1.0,Average,2.0,A
Female,52,Yes,Doctor,1.0,Low,1.0,B
Male,52,No,Artist,5.0,Low,1.0,B
Male,31,Yes,Entertainment,0.0,Low,4.0,D
Male,37,Yes,Marketing,1.0,Low,2.0,D
Male,27,Yes,Artist,3.0,Low,1.0,A
Female,35,Yes,Engineer,4.0,Low,4.0,C
Male,79,Yes,Artist,0.0,High,2.0,C
Female,28,Yes,Doctor,1.0,Low,4.0,C
Male,31,No,Healthcare,0.0,Low,4.0,D
Male,88,No,Executive,0.0,High,3.0,D
Female,51,Yes,Entertainment,4.0,Low,1.0,A
Female,53,Yes,Artist,0.0,Average,2.0,B
Female,43,Yes,Artist,8.0,Low,2.0,B
Male,55,No,Executive,0.0,Low,2.0,A
Male,35,Yes,Artist,4.0,Low,2.0,A
Female,25,No,Engineer,1.0,Average,2.0,A
Male,58,Yes,Artist,6.0,Average,4.0,C
Female,32,Yes,Doctor,1.0,Low,6.0,D
Female,49,No,Artist,1.0,Average,4.0,C
Female,53,No,Entertainment,9.0,High,2.0,A
Female,31,No,Engineer,9.0,Low,4.0,A
Male,39,Yes,Artist,1.0,Low,2.0,B
Male,42,Yes,Entertainment,1.0,Low,1.0,A
Male,20,No,Healthcare,1.0,Low,5.0,D
Male,50,Yes,Entertainment,1.0,Low,2.0,A
Male,26,No,Doctor,0.0,Low,6.0,B
Male,46,Yes,Artist,1.0,Average,3.0,C
Male,30,Yes,Doctor,0.0,Low,2.0,A
Female,60,Yes,Doctor,6.0,Average,2.0,C
Male,84,No,Lawyer,0.0,Low,1.0,D
Male,63,Yes,Artist,6.0,Low,1.0,B
Female,38,Yes,Healthcare,0.0,Low,2.0,D
Male,51,Yes,Entertainment,0.0,Average,4.0,C
Male,20,No,Healthcare,0.0,Low,4.0,D
Female,25,No,Healthcare,14.0,Low,3.0,D
Female,33,Yes,Doctor,0.0,Low,5.0,D
Female,31,No,Engineer,0.0,Low,1.0,D
Male,57,Yes,Healthcare,1.0,Low,3.0,B
Male,42,Yes,Artist,1.0,Low,4.0,B
Male,40,No,Entertainment,2.0,Average,5.0,B
Male,66,No,Lawyer,0.0,High,3.0,B
Male,21,No,Homemaker,0.0,Low,4.0,A
Male,73,No,Executive,1.0,High,2.0,B
Female,46,Yes,Artist,0.0,Low,2.0,C
Female,66,Yes,Artist,0.0,Average,2.0,C
Male,27,Yes,Doctor,0.0,Average,2.0,D
Female,53,No,Artist,1.0,High,4.0,A
Male,80,No,Lawyer,8.0,Low,1.0,D
Female,63,Yes,Artist,1.0,Average,3.0,C
Female,41,Yes,Doctor,9.0,Low,1.0,A
Male,43,Yes,Artist,1.0,Average,4.0,C
Female,18,No,Marketing,9.0,Low,5.0,B
Female,33,Yes,Entertainment,1.0,Low,4.0,B
Male,30,No,Engineer,9.0,Low,3.0,D
Male,85,Yes,Executive,1.0,High,2.0,D
Female,36,Yes,Artist,4.0,High,7.0,C
Male,27,No,Entertainment,3.0,Average,2.0,B
Male,28,No,Healthcare,0.0,Low,5.0,B
Female,35,Yes,Doctor,0.0,Average,3.0,A
Male,26,Yes,Entertainment,1.0,Low,3.0,D
Female,56,Yes,Artist,1.0,High,4.0,B
Female,26,Yes,Artist,13.0,Low,2.0,B
Male,31,Yes,Entertainment,4.0,Low,2.0,B
Male,21,No,Healthcare,0.0,Low,2.0,D
Male,39,No,Entertainment,1.0,Average,4.0,A
Female,51,Yes,Artist,0.0,Low,1.0,C
Male,45,No,Doctor,0.0,Low,4.0,A
Male,77,Yes,Executive,1.0,Low,1.0,D
Female,33,No,Engineer,7.0,Average,5.0,B
Male,29,No,Artist,1.0,Low,3.0,A
Male,43,Yes,Artist,1.0,Low,2.0,B
Female,18,No,Healthcare,1.0,Low,3.0,D
Male,53,Yes,Artist,3.0,Average,3.0,B
Male,28,Yes,Entertainment,3.0,Average,3.0,B
Female,43,Yes,Entertainment,1.0,Low,4.0,A
Male,31,Yes,Entertainment,1.0,Low,3.0,D
Male,65,Yes,Artist,1.0,Low,2.0,A
Male,33,Yes,Artist,0.0,Average,2.0,B
Male,49,Yes,Artist,0.0,Average,6.0,C
Male,33,No,Healthcare,1.0,Low,4.0,C
Male,53,Yes,Artist,6.0,Average,2.0,C
Female,47,Yes,Artist,7.0,Average,4.0,C
Male,31,No,Entertainment,1.0,Low,7.0,D
Male,52,Yes,Executive,1.0,High,4.0,B
Female,30,Yes,Healthcare,1.0,Low,2.0,A
Male,69,No,Executive,9.0,Average,2.0,B
Male,29,Yes,Engineer,0.0,Low,4.0,D
Female,56,No,Engineer,1.0,Average,5.0,B
Female,72,Yes,Artist,1.0,Average,3.0,B
Male,30,No,Engineer,1.0,Low,4.0,D
Female,31,Yes,Healthcare,1.0,Low,4.0,B
Male,41,Yes,Artist,2.0,Low,3.0,A
Female,31,Yes,Healthcare,9.0,Low,7.0,D
Female,26,No,Marketing,7.0,High,3.0,A
Male,20,No,Healthcare,1.0,Low,4.0,D
Male,41,Yes,Artist,4.0,Low,4.0,A
Male,63,Yes,Homemaker,1.0,Low,3.0,B
Male,88,Yes,Executive,1.0,Low,1.0,D
Male,55,No,Engineer,1.0,High,4.0,A
Male,32,Yes,Entertainment,1.0,Low,2.0,D
Female,38,Yes,Artist,0.0,Average,3.0,A
Female,62,Yes,Engineer,1.0,Low,1.0,B
Male,18,No,Healthcare,1.0,Low,5.0,D
Male,67,No,Executive,1.0,High,2.0,D
Female,42,Yes,Artist,9.0,Low,2.0,B
Female,45,Yes,Engineer,0.0,Low,1.0,A
Male,46,No,Doctor,0.0,Average,3.0,D
Male,20,No,Healthcare,2.0,Low,4.0,D
Female,41,Yes,Engineer,0.0,High,3.0,A
Female,35,No,Engineer,7.0,Average,4.0,A
Female,52,Yes,Artist,6.0,Low,2.0,A
Female,63,Yes,Artist,1.0,Average,4.0,B
Male,51,No,Executive,5.0,Low,3.0,C
Female,29,Yes,Entertainment,0.0,Average,2.0,A
Male,27,No,Doctor,0.0,Low,4.0,B
Female,37,Yes,Doctor,1.0,Low,1.0,A
Female,50,Yes,Artist,0.0,Low,2.0,A
Male,74,Yes,Lawyer,1.0,Low,1.0,A
Female,72,Yes,Artist,3.0,Average,3.0,C
Female,83,Yes,Lawyer,1.0,High,2.0,B
Male,37,Yes,Engineer,1.0,Average,3.0,A
Female,19,No,Healthcare,0.0,Low,3.0,D
Female,30,No,Artist,1.0,Low,1.0,B
Female,46,Yes,Engineer,1.0,Low,2.0,B
Female,65,Yes,Doctor,1.0,Low,2.0,B
Female,88,Yes,Lawyer,1.0,Average,2.0,C
Male,43,Yes,Entertainment,0.0,Average,2.0,A
Male,50,Yes,Executive,9.0,High,3.0,C
Male,35,Yes,Artist,8.0,Low,2.0,D
Male,67,Yes,Lawyer,0.0,Low,1.0,A
Male,66,Yes,Executive,0.0,Low,1.0,B
Female,39,Yes,Artist,3.0,Low,2.0,C
Female,32,No,Homemaker,8.0,Low,1.0,D
Female,40,Yes,Artist,6.0,Low,1.0,B
Male,88,Yes,Lawyer,0.0,High,3.0,C
Male,30,Yes,Healthcare,8.0,Low,5.0,D
Male,32,Yes,Entertainment,1.0,Low,1.0,A
Male,43,No,Marketing,1.0,Low,2.0,D
Female,55,No,Engineer,3.0,Average,2.0,B
Female,47,Yes,Artist,0.0,Average,3.0,C
Male,22,No,Healthcare,0.0,Low,4.0,D
Female,31,No,Healthcare,0.0,Low,7.0,B
Male,19,No,Healthcare,0.0,Low,4.0,D
Male,69,No,Doctor,0.0,Average,2.0,C
Male,45,Yes,Executive,0.0,High,2.0,C
Female,22,No,Doctor,1.0,Low,3.0,A
Female,26,Yes,Doctor,0.0,Low,3.0,B
Male,39,Yes,Artist,1.0,Low,3.0,A
Male,61,Yes,Entertainment,1.0,Low,2.0,A
Female,74,No,Lawyer,1.0,High,2.0,C
Male,29,Yes,Artist,4.0,Low,1.0,D
Male,29,Yes,Homemaker,5.0,Low,1.0,D
Male,36,No,Executive,0.0,Low,3.0,D
Female,63,Yes,Doctor,0.0,Low,2.0,B
Male,69,Yes,Artist,0.0,Average,5.0,C
Male,81,Yes,Lawyer,1.0,Low,1.0,A
Female,71,No,Lawyer,1.0,High,2.0,B
Female,31,No,Healthcare,10.0,Low,2.0,C
Male,41,Yes,Entertainment,9.0,Average,4.0,A
Male,35,No,Homemaker,1.0,Average,3.0,B
Female,52,Yes,Artist,6.0,Low,1.0,A
Male,45,No,Artist,0.0,Low,2.0,B
Female,19,No,Marketing,1.0,Low,4.0,D
Male,23,No,Healthcare,2.0,Low,5.0,D
Male,77,No,Lawyer,0.0,Low,2.0,D
Female,84,Yes,Lawyer,0.0,Low,1.0,B
Male,47,No,Entertainment,1.0,High,4.0,D
Male,29,Yes,Entertainment,6.0,Low,3.0,A
Female,35,Yes,Artist,8.0,Low,3.0,A
Male,40,Yes,Artist,14.0,Low,2.0,C
Male,35,No,Healthcare,1.0,Low,1.0,D
Male,20,No,Healthcare,0.0,Low,3.0,D
Male,43,Yes,Entertainment,0.0,Low,2.0,A
Male,56,No,Executive,0.0,Low,1.0,D
Female,53,Yes,Artist,3.0,Low,1.0,A
Male,22,No,Executive,1.0,High,3.0,D
Male,32,No,Healthcare,1.0,High,4.0,D
Male,51,No,Executive,2.0,High,5.0,A
Male,37,No,Doctor,2.0,Average,4.0,A
Male,55,Yes,Artist,4.0,Average,4.0,A
Male,42,Yes,Entertainment,3.0,Low,2.0,A
Male,20,No,Healthcare,1.0,Low,5.0,D
Female,42,Yes,Artist,12.0,Low,2.0,A
Female,38,No,Engineer,1.0,High,5.0,B
Female,52,Yes,Engineer,3.0,Low,1.0,A
Female,48,Yes,Marketing,9.0,Low,1.0,D
Male,37,Yes,Entertainment,5.0,Average,2.0,C
Male,27,No,Doctor,1.0,Low,3.0,B
Male,48,No,Artist,3.0,Average,4.0,B
Female,25,Yes,Marketing,5.0,Low,2.0,D
Female,56,Yes,Doctor,3.0,Low,1.0,A
Female,68,No,Lawyer,1.0,Low,1.0,D
Male,21,No,Healthcare,0.0,Low,4.0,D
Male,43,Yes,Artist,1.0,Low,2.0,B
Male,52,Yes,Lawyer,8.0,High,2.0,C
Male,50,No,Executive,0.0,Average,5.0,B
Male,41,Yes,Entertainment,0.0,Low,1.0,D
Male,40,Yes,Entertainment,8.0,Average,2.0,B
Male,32,Yes,Healthcare,8.0,Low,2.0,D
Male,57,Yes,Homemaker,5.0,High,2.0,A
Female,25,Yes,Artist,13.0,Low,2.0,C
Male,74,No,Lawyer,0.0,High,2.0,A
Female,46,Yes,Artist,0.0,Average,2.0,C
Female,50,Yes,Artist,1.0,Low,1.0,D
Male,50,Yes,Artist,0.0,Average,2.0,B
Female,69,Yes,Lawyer,0.0,High,2.0,C
Male,29,Yes,Artist,0.0,Low,1.0,A
Male,38,No,Executive,9.0,High,5.0,B
Female,82,No,Lawyer,0.0,Low,1.0,A
Female,50,No,Engineer,0.0,Low,3.0,B
Male,56,Yes,Artist,0.0,High,2.0,B
Male,19,No,Healthcare,4.0,Low,3.0,D
Male,29,No,Executive,12.0,Low,3.0,B
Male,26,Yes,Doctor,1.0,Low,3.0,D
Female,31,No,Doctor,1.0,Low,5.0,C
Male,42,Yes,Artist,0.0,Average,2.0,A
Female,33,Yes,Doctor,1.0,Low,1.0,B
Male,35,No,Healthcare,1.0,Low,5.0,D
Female,46,No,Engineer,0.0,High,3.0,A
Female,67,Yes,Artist,0.0,Low,2.0,B
Female,35,No,Artist,7.0,Low,2.0,D
Male,28,No,Doctor,8.0,Low,3.0,A
Female,43,No,Doctor,8.0,Low,1.0,D
Female,73,Yes,Artist,0.0,Average,3.0,C
Female,21,No,Healthcare,8.0,Low,4.0,D
Female,32,No,Doctor,1.0,Low,3.0,D
Male,32,Yes,Artist,13.0,Low,3.0,A
Male,25,No,Homemaker,14.0,Low,3.0,A
Female,40,Yes,Artist,5.0,Low,1.0,A
Female,19,No,Healthcare,0.0,Low,3.0,D
Male,48,Yes,Executive,5.0,High,5.0,B
Female,36,Yes,Artist,3.0,Low,3.0,C
Male,27,No,Healthcare,1.0,Low,3.0,D
Female,82,No,Entertainment,0.0,High,2.0,B
Male,23,No,Healthcare,9.0,Low,4.0,D
Male,30,Yes,Entertainment,14.0,Low,3.0,D
Male,30,Yes,Entertainment,8.0,Low,4.0,A
Male,30,Yes,Healthcare,1.0,Low,3.0,D
Male,28,Yes,Entertainment,1.0,Low,5.0,C
Male,60,Yes,Artist,0.0,Low,2.0,A
Female,52,Yes,Artist,1.0,Average,2.0,C
Female,19,No,Healthcare,0.0,Low,2.0,D
Male,40,No,Executive,1.0,Low,5.0,D
Male,38,Yes,Entertainment,8.0,Low,1.0,D
Female,71,Yes,Entertainment,1.0,Average,2.0,B
Female,40,Yes,Engineer,1.0,Low,3.0,B
Male,68,Yes,Artist,0.0,High,2.0,B
Male,21,No,Healthcare,0.0,Low,4.0,D
Female,39,No,Engineer,1.0,Average,4.0,B
Male,41,Yes,Executive,0.0,Low,4.0,B
Female,22,No,Healthcare,0.0,Low,3.0,D
Female,49,Yes,Artist,3.0,Low,2.0,B
Female,26,Yes,Healthcare,8.0,Low,2.0,D
Female,27,No,Engineer,0.0,Low,2.0,D
Female,50,No,Entertainment,8.0,Low,2.0,A
Female,37,Yes,Homemaker,5.0,Low,2.0,D
Male,43,Yes,Marketing,0.0,Low,2.0,A
Male,35,Yes,Entertainment,13.0,Low,1.0,D
Female,50,Yes,Artist,1.0,Low,1.0,C
Male,31,Yes,Artist,7.0,Low,1.0,A
Female,20,No,Healthcare,0.0,Low,2.0,D
Male,66,Yes,Entertainment,1.0,Average,2.0,C
Male,37,Yes,Healthcare,1.0,Average,2.0,A
Male,52,Yes,Artist,2.0,Average,2.0,C
Male,45,Yes,Executive,7.0,High,5.0,C
Female,27,Yes,Healthcare,2.0,Low,6.0,D
Female,46,Yes,Artist,1.0,High,4.0,C
Female,43,No,Doctor,9.0,Low,1.0,A
Female,32,No,Doctor,8.0,Low,6.0,C
Male,87,Yes,Lawyer,9.0,Low,4.0,C
Male,59,Yes,Artist,1.0,Low,2.0,B
Male,63,Yes,Artist,1.0,Average,3.0,C
Male,47,Yes,Artist,0.0,Low,1.0,B
Female,45,Yes,Artist,9.0,Low,2.0,C
Male,79,No,Lawyer,0.0,Low,1.0,D
Male,65,No,Entertainment,1.0,High,2.0,B
Female,38,Yes,Healthcare,0.0,Low,2.0,B
Male,20,No,Healthcare,2.0,Low,3.0,D
Female,36,Yes,Artist,1.0,Low,2.0,C
Male,22,No,Healthcare,0.0,Low,4.0,D
Male,56,No,Healthcare,0.0,High,4.0,B
Female,32,Yes,Doctor,5.0,Low,3.0,A
Female,33,Yes,Healthcare,1.0,Low,1.0,D
Female,68,Yes,Artist,1.0,High,2.0,C
Female,38,Yes,Artist,7.0,Average,3.0,B
Female,49,Yes,Artist,0.0,High,4.0,C
Female,33,No,Doctor,0.0,Low,1.0,D
Female,57,Yes,Artist,1.0,High,2.0,C
Female,65,Yes,Lawyer,2.0,Low,6.0,D
Male,36,Yes,Entertainment,0.0,Average,2.0,C
Female,43,No,Engineer,4.0,Average,7.0,A
Female,18,No,Entertainment,1.0,Low,5.0,C
Female,43,No,Engineer,1.0,Average,2.0,B
Male,75,Yes,Lawyer,0.0,Low,1.0,A
Male,39,Yes,Healthcare,11.0,Average,2.0,B
Male,61,Yes,Artist,2.0,Low,2.0,B
Male,26,Yes,Engineer,0.0,Low,5.0,C
Male,52,Yes,Artist,7.0,Average,4.0,B
Male,50,Yes,Artist,1.0,Low,1.0,B
Female,51,Yes,Artist,1.0,Low,1.0,B
Male,50,No,Artist,1.0,Average,3.0,C
Male,53,Yes,Executive,9.0,High,5.0,B
Male,40,No,Executive,5.0,Low,4.0,D
Female,26,No,Healthcare,0.0,Low,3.0,B
Male,32,No,Entertainment,9.0,Low,4.0,A
Female,22,No,Healthcare,5.0,Low,3.0,D
Female,36,Yes,Artist,1.0,Average,4.0,B
Female,69,No,Doctor,0.0,Low,1.0,A
Female,39,Yes,Entertainment,1.0,Low,2.0,A
Female,81,No,Doctor,0.0,High,2.0,A
Female,28,No,Healthcare,9.0,Low,2.0,D
Male,28,Yes,Healthcare,6.0,Low,5.0,D
Male,52,Yes,Entertainment,1.0,Low,5.0,B
Female,40,Yes,Artist,4.0,Average,5.0,B
Female,37,No,Artist,0.0,Average,2.0,D
Male,26,No,Marketing,1.0,Low,5.0,D
Female,31,No,Homemaker,8.0,Low,1.0,A
Female,68,Yes,Lawyer,0.0,Low,2.0,C
Male,42,Yes,Artist,1.0,Average,3.0,C
Female,56,Yes,Artist,1.0,Average,6.0,C
Male,37,No,Entertainment,1.0,Low,2.0,A
Male,58,Yes,Artist,1.0,Low,1.0,D
Male,33,Yes,Artist,7.0,Low,1.0,A
Female,31,No,Homemaker,8.0,Low,1.0,D
